Provincias;Edad (grupos quinquenales);Sexo;Españoles/Extranjeros;Año;Total
02  Albacete;0-4 años;Hombres;TOTAL;2020;8.237
02  Albacete;0-4 años;Mujeres;TOTAL;2020;7.592
02  Albacete;5-9 años;Hombres;TOTAL;2020;9.710
02  Albacete;5-9 años;Mujeres;TOTAL;2020;8.900
02  Albacete;10-14 años;Hombres;TOTAL;2020;10.407
02  Albacete;10-14 años;Mujeres;TOTAL;2020;9.815
02  Albacete;15-19 años;Hombres;TOTAL;2020;10.349
02  Albacete;15-19 años;Mujeres;TOTAL;2020;9.863
02  Albacete;20-24 años;Hombres;TOTAL;2020;11.069
02  Albacete;20-24 años;Mujeres;TOTAL;2020;10.141
02  Albacete;25-29 años;Hombres;TOTAL;2020;11.471
02  Albacete;25-29 años;Mujeres;TOTAL;2020;10.503
02  Albacete;30-34 años;Hombres;TOTAL;2020;11.817
02  Albacete;30-34 años;Mujeres;TOTAL;2020;11.085
02  Albacete;35-39 años;Hombres;TOTAL;2020;13.609
02  Albacete;35-39 años;Mujeres;TOTAL;2020;12.553
02  Albacete;40-44 años;Hombres;TOTAL;2020;15.943
02  Albacete;40-44 años;Mujeres;TOTAL;2020;14.906
02  Albacete;45-49 años;Hombres;TOTAL;2020;15.648
02  Albacete;45-49 años;Mujeres;TOTAL;2020;15.019
02  Albacete;50-54 años;Hombres;TOTAL;2020;15.622
02  Albacete;50-54 años;Mujeres;TOTAL;2020;15.457
02  Albacete;55-59 años;Hombres;TOTAL;2020;14.871
02  Albacete;55-59 años;Mujeres;TOTAL;2020;14.665
02  Albacete;60-64 años;Hombres;TOTAL;2020;11.765
02  Albacete;60-64 años;Mujeres;TOTAL;2020;11.874
02  Albacete;65-69 años;Hombres;TOTAL;2020;8.973
02  Albacete;65-69 años;Mujeres;TOTAL;2020;9.506
02  Albacete;70-74 años;Hombres;TOTAL;2020;7.837
02  Albacete;70-74 años;Mujeres;TOTAL;2020;8.760
02  Albacete;75-79 años;Hombres;TOTAL;2020;6.590
02  Albacete;75-79 años;Mujeres;TOTAL;2020;8.158
02  Albacete;80-84 años;Hombres;TOTAL;2020;4.833
02  Albacete;80-84 años;Mujeres;TOTAL;2020;6.601
02  Albacete;85-89 años;Hombres;TOTAL;2020;3.577
02  Albacete;85-89 años;Mujeres;TOTAL;2020;5.497
02  Albacete;90-94 años;Hombres;TOTAL;2020;1.445
02  Albacete;90-94 años;Mujeres;TOTAL;2020;2.565
02  Albacete;95-99 años;Hombres;TOTAL;2020;266
02  Albacete;95-99 años;Mujeres;TOTAL;2020;630
02  Albacete;100 años y más;Hombres;TOTAL;2020;42
02  Albacete;100 años y más;Mujeres;TOTAL;2020;99
03  Alicante/Alacant;0-4 años;Hombres;TOTAL;2020;39.992
03  Alicante/Alacant;0-4 años;Mujeres;TOTAL;2020;37.311
03  Alicante/Alacant;5-9 años;Hombres;TOTAL;2020;47.177
03  Alicante/Alacant;5-9 años;Mujeres;TOTAL;2020;44.384
03  Alicante/Alacant;10-14 años;Hombres;TOTAL;2020;52.580
03  Alicante/Alacant;10-14 años;Mujeres;TOTAL;2020;49.871
03  Alicante/Alacant;15-19 años;Hombres;TOTAL;2020;49.896
03  Alicante/Alacant;15-19 años;Mujeres;TOTAL;2020;46.301
03  Alicante/Alacant;20-24 años;Hombres;TOTAL;2020;47.896
03  Alicante/Alacant;20-24 años;Mujeres;TOTAL;2020;45.105
03  Alicante/Alacant;25-29 años;Hombres;TOTAL;2020;50.785
03  Alicante/Alacant;25-29 años;Mujeres;TOTAL;2020;47.828
